story_id,source_slice,feature,actor,user_story,expected_behavior,entry_points,evidence,inventory_status,qa_status,error_status,documented_errors,fix_status,retest_status,duplicate_or_overlap,source_analysis,notes
RT-001,runtime-sessions,Daemon status,Operator/Agent,"As an operator I want a single status payload so I can see daemon health, sessions, providers, memory, automation, network, skills, config at a glance","`GET /api/status[?workspace_id=]` → 200 with `daemon{status:running,pid,started_at,http_port,active_sessions,total_sessions,version}`, `sessions{active,total,by_status,by_badge}`, plus health/memory/automation/tasks/bridges/providers/mcp/skills/config/log_tail sections. Errors → 500 with message.",HTTP+UDS `GET /api/status`; web home `/_app/`,`status.go:34-123`; `httpapi/routes.go:50-53`; `routes/_app/index.tsx`; qa/evidence/batch-003-sessions/bug003-status-after-failed-start.json; qa/issues/BUG-003.md,QA in progress,Passed after BUG-003 retest,BUG-003 resolved,BUG-003: failed pre-activation sessions were omitted from health.failures until daemon restart; initial status contract evidence remains valid,Fixed,Retested: status health.failures updates immediately after fresh provider-auth failed start without daemon restart,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Assert status code AND body sections; verify provider messages are redacted. BUG-003 retest confirms failed-start health projection updates immediately.
RT-002,runtime-sessions,Doctor diagnostics,Operator/Agent,As an operator I want runtime diagnostics so I can triage daemon/provider/config/network/skill/task issues,"`GET /api/doctor[?only=&exclude=&quiet=]` → 200 with `status(ok/warn/error)`, `summary.counts_by_severity`, and `items[]` (daemon, config, automation, bridge, network, skills, log-tail, task, providers, mcp) each with severity + suggested command.",HTTP+UDS `GET /api/doctor`,`status.go:47-171`; `routes.go:50-53`,Needs QA,Passed,No error,"Evidence: qa/evidence/batch-001-runtime-entrypoints/rt002-http-doctor*.json. Doctor returned 200 with status=error, summary counts, and 34 diagnostic items; only=daemon returned the daemon-side categories; only=provider returned 26 provider diagnostics; exclude=provider returned zero provider items and status=ok. The supported category name is singular provider; exclude=providers was intentionally not treated as an alias.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Test `only`/`exclude` filtering; verify provider items appear only when included.
RT-003,runtime-sessions,First-run onboarding flag,Operator,As a first-run operator I want the wizard to track completion so it does not reappear after setup,"`GET /api/onboarding` → `{completed,completed_at}`; `POST /api/onboarding/complete` sets completed=true + RFC3339 timestamp; `DELETE /api/onboarding` resets to false. HTTP complete/reset require privileged guard.",HTTP+UDS `/api/onboarding*`; web onboarding wizard,`onboarding.go:13-73`; `routes.go:55-61`; `onboarding-wizard.tsx`,Needs QA,Passed,No error,Evidence: qa/evidence/batch-001-runtime-entrypoints/rt003-http-*.json plus CLI onboarding status/complete/reset output captured 2026-06-21T22:03Z. HTTP loopback GET/POST/DELETE and UDS-backed CLI status/complete/reset transitioned false -> true with RFC3339 completed_at -> false. Non-loopback privileged guard is implemented on HTTP routes via loopbackMutationGuard; current QA daemon is intentionally loopback-bound.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Verify HTTP DELETE/POST are privileged-gated; UDS is not.
RT-004,runtime-sessions,Onboarding wizard flow,Operator,As a first-run operator I want a 3-step wizard (default model → workspaces → onboarding chat) so AGH is usable immediately,"Wizard renders steps with gating (`canContinue`, `maxStep`), shows commit errors, ""Finish setup"" on last step triggers onboarding-complete; left rail shows progress + ""Runs locally"" note.",web `/_app/` first-run; `onboarding-wizard.tsx`,`onboarding-wizard.tsx:38-156`; qa/evidence/batch-004-context-settings/rt039-rt041-browser-blocked.json; qa/evidence/batch-027-vault-model-support-logs/ms038-ms052-vault-model-support-logs.json,Needs QA,Blocked by browser environment; backend marker passed,Environment blocker,"Onboarding wizard step rendering, progress rail, gating, commit-error display, and route-level Finish setup interaction require browser/router/query-client execution. QA bootstrap browser.mode=blocked because neither browser-use plugin nor agent-browser CLI is available. The onboarding-completed backend marker used by Finish setup was validated through MS-052.",Blocked,Blocked,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,No product failure claimed. Requires browser automation to complete visual and interaction coverage; API/CLI onboarding status/complete/reset passed in MS-052.
RT-005,runtime-sessions,Register workspace,Operator/Agent,As an operator I want to register a workspace by absolute root dir so AGH can host sessions in it,"`POST /api/workspaces` with `{root_dir(abs),name,add_dirs[](abs),default_agent,sandbox_ref}` → 201 workspace. Non-abs `root_dir`/`add_dirs` → 400; name/path conflicts → 409.",HTTP+UDS `POST /api/workspaces`,"`workspaces.go:20-58`; `session_workspace.go:95-118,130-148`",Needs QA,Passed,No error,"Evidence: qa/evidence/batch-002-workspaces/rt005-*. HTTP invalid root_dir and add_dirs returned 400; valid create returned 201 with id ws_50cd2346e8ef0c2a, absolute root/add_dirs, default_agent=general, sandbox_ref=local; duplicate root returned 409. UDS-backed CLI workspace add created ws_2c148d255a018550.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Assert absolute-path validation and conflict mapping; check default_agent + sandbox_ref persist.
RT-006,runtime-sessions,List/get workspaces,Operator/Agent,"As an operator I want to list and inspect workspaces with their sessions, agents, skills, providers","`GET /api/workspaces` → list; `GET /api/workspaces/:id` → detail with workspace, scoped sessions, merged public agents, skills, provider options. Missing → 404; root missing → 410.",HTTP+UDS `/api/workspaces[/:id]`,"`workspaces.go:61-103,105-158`",Needs QA,Passed,No error,"Evidence: qa/evidence/batch-002-workspaces/rt006-*. HTTP list returned registered workspaces; HTTP get returned workspace detail with workspace, sessions array, agents array, skills array, and providers array. UDS-backed CLI workspace list/info returned matching workspace data.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Verify only workspace-scoped sessions appear; root-missing returns 410 Gone.
RT-007,runtime-sessions,Update workspace,Operator/Agent,"As an operator I want to update a workspace's name, dirs, default agent, sandbox ref",`PATCH /api/workspaces/:id` with optional fields; empty name → 400; non-abs add_dirs → 400; returns updated workspace.,HTTP+UDS `PATCH /api/workspaces/:id`,`workspaces.go:161-218`,Needs QA,Passed after fix,Resolved BUG-001,"BUG-001: unknown sandbox_ref initially returned 500 Internal Server Error instead of a client validation message. Fix added config.ErrSandboxProfileNotFound and mapped it to 400 for workspace/session transports. Evidence: qa/issues/BUG-001.md, qa/evidence/batch-002-workspaces/rt007-update.*, bug001-retest-invalid-sandbox.*, bug001-retest-valid-local.*. Empty name and relative add_dirs returned 400; valid update with sandbox_ref=local returned 200.",Fixed,Passed,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Partial updates only touch provided fields.
RT-008,runtime-sessions,Delete workspace,Operator/Agent,As an operator I want to delete a workspace and clean up its stopped sessions,`DELETE /api/workspaces/:id` → 204; fails 409 if any *active* session exists; otherwise unregisters and deletes stopped sessions.,HTTP+UDS `DELETE /api/workspaces/:id`,`workspaces.go:221-305`; qa/evidence/batch-002-workspaces/rt008-*,Needs QA,Passed,No error,"Deleting a workspace with no active sessions returned 204 and removed it from subsequent list results. After acpmock setup, deleting workspace ws_87b7fa5c02d8b6d6 with active session sess-b67fd66a56adbc1a returned 409 listing the active session; after stopping that session, deleting the workspace returned 204.",Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Active-session conflict and stopped-session cleanup both verified.
RT-009,runtime-sessions,Resolve-or-register workspace,Operator/Agent,As an operator I want to resolve a path into a workspace (creating it if new) so I can start working from a folder,`POST /api/workspaces/resolve` with `{path(abs)}` → 200 workspace (existing or newly registered). Non-abs → 400.,HTTP+UDS `POST /api/workspaces/resolve`,`workspaces.go:307-334`,Needs QA,Passed,No error,Evidence: qa/evidence/batch-002-workspaces/rt009-*. Non-absolute path returned 400; resolving the existing workspace path returned the original workspace id ws_50cd2346e8ef0c2a; resolving a new absolute path registered ws_310e562b66554021.,Not required,Not required,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Idempotent for an already-registered path.
RT-010,runtime-sessions,Create session,Operator/Agent,"As an operator I want to create a session in a workspace, optionally overriding provider/model/reasoning","`POST /api/sessions` with `{workspace|workspace_path, agent_name, provider, model, reasoning_effort, name, channel}` → 201 session. Exactly one of workspace/workspace_path; provider required if model/effort set; invalid effort → 400; provider auth failure → 422; agent unavailable → 400.",HTTP+UDS `POST /api/sessions`; web session-create-dialog,`handlers.go:405-443`; `session_workspace.go:27-62`; `use-session-create-dialog.ts`; qa/evidence/batch-003-sessions/rt010-*; qa/evidence/batch-003-sessions/qa-acpmock-session-create.*; qa/issues/BUG-002.md; qa/issues/BUG-003.md,QA in progress,Passed after BUG-002/BUG-003 retest,BUG-002 and BUG-003 resolved,"BUG-002: missing required bound-secret provider credential returned HTTP 500/generic body before fix; BUG-003: provider-auth failed start did not update status health failures until restart. Validation matrix covered missing workspace, mutually exclusive workspace inputs, model/effort provider requirements, invalid effort, unknown workspace, unknown agent, and provider-auth failure.",Fixed,Provider-auth failure branch retested as HTTP 422 with provider_credential_unresolved; failed-start status/list projection retested immediately after BUG-003; acpmock auth_mode=none provider unlocked successful 201 create over HTTP (sess-5f85d329266df96f) and UDS CLI session new (sess-f6cb5313b8317935).,,.compozy/tasks/feature-stories/analysis/01_analysis_runtime-sessions.md,Live 201 path now covered with deterministic acpmock provider plus the original failure/validation matrix.
