id,current_qa_status,triage_category,triage_reason,title,source,qualification,journey,persona,expected,last_report,evidence,bug_ids,charters,disposition,new_evidence,notes
APP-agent-cli-app-verbs,blocked-verify,separate_prerequisite_or_review,platform_or_packaged_artifact,Drive the desktop surface end-to-end through compozy app,docs/qa/scenarios/APP-agent-cli-app-verbs.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-agent-headless,Ada,"The full lifecycle — status before install, open or focus, retry, schema-v2 transitional state, navigation, `compozy update` handoff, redacted diagnostics, consent-gated bundle export, and stopped state — is deterministic structured output with named errors.",docs/qa/reports/2026-08-27-pr-494-desktop-liveness.md,docs/qa/reports/2026-08-27-pr-494-desktop-liveness.md,BUG-20260810-app-control-timeout; BUG-20260810-healthy-retry-corrupts-state,CH-desktop-agent-headless-cli;CH-electron-update-headless-authority,pending,,Not executed in this round.
APP-app-auto-update,blocked-decision,separate_prerequisite_or_review,release_channel,Apply an app update through the product update surface,docs/qa/scenarios/APP-app-auto-update.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-update-moment,Bruno,"With a newer verified release, the daemon reports the app track in Settings and the menubar points there; an accepted durable operation downloads and verifies the asset, then a running app enters installer handoff only with consent while a closed app stages for next launch. The boot window reports progress but never offers an update.",docs/qa/reports/2026-08-17-electron-shell.md,docs/qa/reports/2026-08-17-electron-shell.md,BUG-20260817-macos-channel-manifest-includes-dmg; BUG-20260817-linux-channel-manifest-includes-deb,CH-desktop-update-rehearsal-macos;CH-electron-beta-update-linux;CH-electron-beta-update-macos;CH-desktop-update-rehearsal-linux,pending,,Not executed in this round.
APP-appimage-fuseless-launch,blocked-verify,separate_prerequisite_or_review,platform_or_packaged_artifact,Launch the Linux AppImage on a host without libfuse2,docs/qa/scenarios/APP-appimage-fuseless-launch.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-first-run,Lea,"The released x64 AppImage launches on a distribution that ships only FUSE 3 and has no libfuse2 package installed, mounting and opening the app without `--appimage-extract-and-run`; the artifact keeps its AppImage type 2 magic so the desktop still resolves `application/vnd.appimage`, and the electron-updater feed keeps its block map and `latest-linux.yml`.",docs/qa/reports/2026-09-03-appimage-static-runtime.md,docs/qa/reports/2026-09-03-appimage-static-runtime.md,,,blocked-external-runtime,docs/qa/evidence/2026-09-10-qa-execution-unblock/platform-prerequisites.json,"Current assigned lab is Darwin arm64/macOS26.6.2. Exact released linux-x64 AppImage must run on an isolated graphical Linux host with FUSE3 and no libfuse.so.2, without extraction fallback, with retained clean teardown. The September3 locally built artifact and September4 review do not satisfy that contract."
APP-install-first-run-provision,blocked-verify,separate_prerequisite_or_review,platform_or_packaged_artifact,Install CompozyOS and reach the product with no prior setup,docs/qa/scenarios/APP-install-first-run-provision.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-first-run,Lea,"A machine with no runtime goes installer → guided offline provisioning with visible verify, install, and start phases for the bundled lockstep runtime → full product UI; relaunch lands directly in the product with exactly one daemon and `compozy status` healthy. A startup failure keeps the non-interactive boot window available for redacted diagnostics, local copy, and explicit local export.",docs/qa/reports/2026-09-03-appimage-static-runtime.md,docs/qa/reports/2026-08-17-electron-shell.md; docs/qa/reports/2026-09-03-appimage-static-runtime.md,BUG-20260810-desktop-dev-shell-crashes; BUG-20260810-desktop-runtime-stalls; BUG-20260810-initial-boot-window-absent; BUG-20260810-boot-controls-unavailable; BUG-20260817-desktop-release-channel-provenance; BUG-20260817-signed-macos-x64-digest-drift; BUG-20260817-desktop-smoke-local-isolation,CH-electron-offline-first-run-linux;CH-desktop-first-run-macos;CH-desktop-first-run-linux;CH-electron-offline-first-run-macos,pending,,Not executed in this round.
APP-native-window-controls,blocked-verify,separate_prerequisite_or_review,platform_or_packaged_artifact,Operate the desktop window from native controls in the menubar,docs/qa/scenarios/APP-native-window-controls.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-attach-daily,Dora,"The packaged product window shows operating-system window controls within the 44px Compozy menubar without covering product controls; macOS keeps native traffic lights before the Compozy mark, Linux follows the desktop environment's native side and button set, and the browser renders the unchanged menubar without desktop controls.",docs/qa/reports/2026-08-17-native-window-chrome.md,/Users/pedronauck/dev/qa-labs/compozy-native-window-chrome-20260817-190228-135313-lab/qa-artifacts/qa; docs/qa/reports/2026-08-17-native-window-chrome.md,,CH-native-window-chrome-linux;CH-native-window-chrome-macos,pending,,Not executed in this round.
APP-quit-contract,blocked-verify,separate_prerequisite_or_review,platform_or_packaged_artifact,Quitting the app never stops my runtime or agent work,docs/qa/scenarios/APP-quit-contract.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-attach-daily,Dora,"With agents/sessions working, closing the window ends only the app — the runtime and all in-flight work continue and are verifiable via `compozy status`; the same holds for runtimes the app itself started or provisioned, and after a force-kill the next launch attaches normally.",docs/qa/reports/2026-08-17-native-window-chrome.md,docs/qa/reports/2026-08-17-electron-shell.md; /Users/pedronauck/dev/qa-labs/compozy-native-window-chrome-20260817-190228-135313-lab/qa-artifacts/qa; docs/qa/reports/2026-08-17-native-window-chrome.md,BUG-20260810-desktop-runtime-stalls,CH-desktop-attach-quit-linux;CH-native-window-chrome-linux;CH-electron-shell-safety-linux;CH-electron-shell-safety-macos;CH-native-window-chrome-macos;CH-desktop-attach-quit-macos,pending,,Not executed in this round.
APP-runtime-update-app-owned,blocked-decision,separate_prerequisite_or_review,release_channel,An app-provisioned runtime updates as one product update with timing consent,docs/qa/scenarios/APP-runtime-update-app-owned.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-update-moment,Bruno,"On an app-provisioned home with agent work in flight, a ready runtime update asks for timing consent — ""later"" keeps everything working; ""now"" quiesces, stops, applies, restarts, reconnects — and both new versions appear in one update surface.",docs/qa/reports/2026-08-17-electron-shell.md,docs/qa/reports/2026-08-17-electron-shell.md,,CH-desktop-update-rehearsal-macos;CH-electron-beta-update-linux;CH-electron-beta-update-macos;CH-desktop-update-rehearsal-linux,pending,,Not executed in this round.
APP-single-command-multi-target-update,blocked-decision,separate_prerequisite_or_review,release_channel,Update runtime and app through one command,docs/qa/scenarios/APP-single-command-multi-target-update.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-agent-headless,Ada,"One `compozy update -o json` operation applies the runtime first, then updates a running app or stages a closed app, and reports both targets from the same verified release.",docs/qa/reports/2026-08-17-electron-shell.md,docs/qa/reports/2026-08-17-electron-shell.md,,CH-electron-update-headless-authority,pending,,Not executed in this round.
APP-terminal-desktop-fidelity,blocked-verify,separate_prerequisite_or_review,platform_or_packaged_artifact,Preserve terminal input and rendering in the packaged desktop,docs/qa/scenarios/APP-terminal-desktop-fidelity.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-use-terminal-desktop,Marina,"The packaged desktop admits only its same-origin terminal socket and preserves native clipboard, accelerator resolution, zoom refit, CJK input, alternate-screen rendering, resize reflow, watcher equality, and primary-screen restoration.",docs/qa/reports/2026-08-26-integrated-terminal.md,docs/qa/reports/2026-08-26-integrated-terminal.md,,CH-terminal-desktop-fidelity,pending,,Not executed in this round.
APP-window-geometry-recovery,blocked-verify,separate_prerequisite_or_review,platform_or_packaged_artifact,Restore usable window geometry across relaunch and display changes,docs/qa/scenarios/APP-window-geometry-recovery.md,Document-based feasibility estimate; not an executed verdict; Codex Luna xhigh ACP canary still required,J-desktop-attach-daily,Dora,The main window restores its last usable normal bounds and maximized state after relaunch; saved bounds from a disconnected display recover fully inside a connected display without changing daemon ownership or app state.,docs/qa/reports/2026-08-17-native-window-chrome.md,docs/qa/reports/2026-08-17-electron-shell.md; /Users/pedronauck/dev/qa-labs/compozy-native-window-chrome-20260817-190228-135313-lab/qa-artifacts/qa; docs/qa/reports/2026-08-17-native-window-chrome.md,,CH-native-window-chrome-linux;CH-electron-shell-safety-linux;CH-electron-shell-safety-macos;CH-native-window-chrome-macos,pending,,Not executed in this round.
